label	description
14.1.1	"(a) Index of coastal eutrophication; and (b) plastic debris density"
14.2.1	"Number of countries using ecosystem-based approaches to managing marine areas"
14.3.1	Average marine acidity (pH) measured at agreed suite of representative sampling stations
14.4.1	Proportion of fish stocks within biologically sustainable levels
14.5.1	Coverage of protected areas in relation to marine areas
14.6.1	"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing"
14.7.1	"Sustainable fisheries as a proportion of GDP in small island developing States, least developed countries and all countries"
14.a.1	Proportion of total research budget allocated to research in the field of marine technology
14.b.1	Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small_scale fisheries
14.c.1	"Number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the United Nations Convention on the Law of the Sea, for the conservation and sustainable use of the oceans and their resources"
